classe,height,width,ratio
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Early_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___Late_blight,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Potato___healthy,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Bacterial_spot,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Early_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Late_blight,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
Tomato_Leaf_Mold,256,256,1.0
